timestamp_utc,node_id,latitude,longitude,tilt_x_deg,tilt_y_deg,tilt_magnitude_deg,displacement_mm,displacement_change_mm,displacement_rate_mm_per_hour,distance_to_neighbor_m,vibration_g,crack_width_mm,crack_change_mm,displacement_vs_network_mean_mm,risk_level
2026-01-01 00:00:00+00:00,N001,19.999996,82.0000012,0.0727,0.0522,0.08949932960642779,2.0365,0.0,0.0,9.8443,0.0189,0.0,0.0,0.021009999999999973,NORMAL
2026-01-01 00:05:00+00:00,N001,19.999996,82.0000012,0.084,0.0446,0.09510604607489473,1.9524,-0.08410000000000029,-1.0092000000000034,9.8565,0.01852,0.0,0.0,-0.02841000000000027,NORMAL
2026-01-01 00:10:00+00:00,N001,19.999996,82.0000012,0.0763,0.076,0.1076925717029731,2.2207,0.2683,3.2196,9.8376,0.02339,0.0,0.0,0.21342333333333308,WATCH
2026-01-01 00:15:00+00:00,N001,19.999996,82.0000012,0.1008,0.0884,0.13407162264998512,1.8963,-0.3243999999999998,-3.8927999999999976,9.8586,0.02008,0.0,0.0,-0.10380000000000011,NORMAL
2026-01-01 00:20:00+00:00,N001,19.999996,82.0000012,0.0643,0.0394,0.07541120606382051,2.1767,0.28039999999999976,3.364799999999997,9.8572,0.02088,0.0,0.0,0.14922333333333304,WATCH
2026-01-01 00:25:00+00:00,N001,19.999996,82.0000012,0.1205,0.0807,0.14502668719928755,1.9246,-0.25209999999999977,-3.0251999999999972,9.8632,0.01977,0.0,0.0,-0.10995666666666648,NORMAL
2026-01-01 00:30:00+00:00,N001,19.999996,82.0000012,0.0661,0.0354,0.07498246461673556,1.8848,-0.03980000000000006,-0.4776000000000007,9.8338,0.02372,0.0,0.0,-0.11996000000000007,NORMAL
2026-01-01 00:35:00+00:00,N001,19.999996,82.0000012,0.0496,0.0642,0.08112829346165244,1.7971,-0.08770000000000011,-1.0524000000000013,9.8378,0.02702,0.0,0.0,-0.2103033333333335,NORMAL
2026-01-01 00:40:00+00:00,N001,19.999996,82.0000012,0.0637,0.0922,0.11206484729833883,1.9855,0.18840000000000012,2.2608000000000015,9.8712,0.02088,0.0,0.0,-0.03724333333333307,WATCH
2026-01-01 00:45:00+00:00,N001,19.999996,82.0000012,0.0634,0.0551,0.08399744043719427,1.9052,-0.08030000000000004,-0.9636000000000005,9.8585,0.02035,0.0,0.0,-0.09618000000000015,NORMAL
