timestamp_utc,node_id,latitude,longitude,tilt_x_deg,tilt_y_deg,displacement_mm,distance_to_neighbor_m,vibration_g,crack_width_mm,temperature_c,humidity_percent,battery_percent,rssi_dbm
2026-01-01T00:00:00+00:00,N001,19.999996,82.0000012,0.0727,0.0522,2.0365,9.8443,0.0189,0.0,26.35,74.77,99.43,-70.72
2026-01-01T00:05:00+00:00,N001,19.999996,82.0000012,0.084,0.0446,1.9524,9.8565,0.01852,0.0,25.98,73.9,98.1,-72.7
2026-01-01T00:10:00+00:00,N001,19.999996,82.0000012,0.0763,0.076,2.2207,9.8376,0.02339,0.0,26.17,73.71,98.11,-71.4
2026-01-01T00:15:00+00:00,N001,19.999996,82.0000012,0.1008,0.0884,1.8963,9.8586,0.02008,0.0,25.71,75.61,98.5,-70.74
2026-01-01T00:20:00+00:00,N001,19.999996,82.0000012,0.0643,0.0394,2.1767,9.8572,0.02088,0.0,26.23,74.22,100.01,-73.38
2026-01-01T00:25:00+00:00,N001,19.999996,82.0000012,0.1205,0.0807,1.9246,9.8632,0.01977,0.0,26.66,77.74,98.61,-72.33
2026-01-01T00:30:00+00:00,N001,19.999996,82.0000012,0.0661,0.0354,1.8848,9.8338,0.02372,0.0,26.1,75.49,98.0,-69.16
2026-01-01T00:35:00+00:00,N001,19.999996,82.0000012,0.0496,0.0642,1.7971,9.8378,0.02702,0.0,25.89,74.23,98.13,-69.51
2026-01-01T00:40:00+00:00,N001,19.999996,82.0000012,0.0637,0.0922,1.9855,9.8712,0.02088,0.0,26.16,73.71,98.43,-70.82
2026-01-01T00:45:00+00:00,N001,19.999996,82.0000012,0.0634,0.0551,1.9052,9.8585,0.02035,0.0,26.15,72.38,97.15,-75.36
2026-01-01T00:50:00+00:00,N001,19.999996,82.0000012,0.1308,0.0504,2.0385,9.8323,0.02219,0.0,25.75,73.97,97.08,-71.81
2026-01-01T00:55:00+00:00,N001,19.999996,82.0000012,0.1149,0.0649,2.0049,9.8561,0.01995,0.0,26.32,73.37,98.86,-73.35
2026-01-01T01:00:00+00:00,N001,19.999996,82.0000012,0.0647,0.0593,2.2098,9.8318,0.02106,0.0,25.53,73.9,98.67,-70.83
2026-01-01T01:05:00+00:00,N001,19.999996,82.0000012,0.063,0.086,2.0973,9.8691,0.01885,0.0,26.4,73.17,99.0,-72.31
2026-01-01T01:10:00+00:00,N001,19.999996,82.0000012,0.0525,0.0805,1.8359,9.8415,0.02643,0.0,25.87,71.23,98.46,-68.17
2026-01-01T01:15:00+00:00,N001,19.999996,82.0000012,0.1179,0.0246,2.0234,9.8516,0.0218,0.0,25.91,70.68,98.81,-68.65
2026-01-01T01:20:00+00:00,N001,19.999996,82.0000012,0.0848,0.0326,1.9846,9.8467,0.02141,0.0,26.32,73.54,98.31,-74.6
2026-01-01T01:25:00+00:00,N001,19.999996,82.0000012,0.0924,0.0786,2.0886,9.8921,0.02176,0.0,26.09,70.82,97.16,-66.42
2026-01-01T01:30:00+00:00,N001,19.999996,82.0000012,0.0986,0.038,2.1822,9.8536,0.02028,0.0,26.0,74.41,97.24,-69.14
2026-01-01T01:35:00+00:00,N001,19.999996,82.0000012,0.1156,0.0493,2.0207,9.8771,0.02255,0.0,26.04,71.27,97.95,-69.61
2026-01-01T01:40:00+00:00,N001,19.999996,82.0000012,0.1077,0.0789,1.9917,9.7921,0.02023,0.0,26.1,74.25,97.57,-72.49
2026-01-01T01:45:00+00:00,N001,19.999996,82.0000012,0.0851,0.0229,1.8418,9.8539,0.0183,0.0,26.5,73.6,97.51,-71.42
2026-01-01T01:50:00+00:00,N001,19.999996,82.0000012,0.0839,0.0664,2.1292,9.8406,0.02115,0.0,26.44,73.25,97.73,-71.54
2026-01-01T01:55:00+00:00,N001,19.999996,82.0000012,0.1016,0.0331,2.0258,9.8493,0.02064,0.0,26.25,73.58,96.9,-74.85
2026-01-01T02:00:00+00:00,N001,19.999996,82.0000012,0.0646,0.046,1.954,9.8539,0.01875,0.0,26.13,71.22,96.76,-73.19
2026-01-01T02:05:00+00:00,N001,19.999996,82.0000012,0.0746,0.1006,2.2038,9.8705,0.02632,0.0,26.15,72.75,96.39,-70.4
2026-01-01T02:10:00+00:00,N001,19.999996,82.0000012,0.1332,0.1234,2.1378,9.8581,0.02249,0.0,26.66,73.48,96.38,-70.35
2026-01-01T02:15:00+00:00,N001,19.999996,82.0000012,0.0769,0.069,2.1332,9.8467,0.01908,0.0,26.49,71.22,96.98,-71.4
2026-01-01T02:20:00+00:00,N001,19.999996,82.0000012,0.1348,0.0804,1.8477,9.8497,0.02506,0.0,26.25,73.73,95.8,-70.43
2026-01-01T02:25:00+00:00,N001,19.999996,82.0000012,0.0278,0.0283,2.0416,9.8488,0.02076,0.0,26.6,71.82,97.74,-72.43
2026-01-01T02:30:00+00:00,N001,19.999996,82.0000012,0.0676,0.0539,2.138,9.8329,0.02256,0.0,26.74,72.39,97.64,-71.68
2026-01-01T02:35:00+00:00,N001,19.999996,82.0000012,0.139,0.0845,2.0439,9.8492,0.0198,0.0,26.72,70.77,96.28,-71.18
